Solar Radiation (Clear Sky),Air Temperature,Dew Point Temperature,Wet Bulb Temperature ,Humidity,Wind Speed,Day of Week,Month,Solar Radiation (All Sky)_Lag_1,Air Temperature_Lag_1,Humidity_Lag_1,Wind Speed_Lag_1,Solar Radiation (All Sky)_Lag_2,Air Temperature_Lag_2,Humidity_Lag_2,Wind Speed_Lag_2,Solar Radiation (All Sky)_Lag_3,Air Temperature_Lag_3,Humidity_Lag_3,Wind Speed_Lag_3,Temp_Rolling_Mean,Humidity_Rolling_Mean,Wind Speed_Rolling_Mean,Fourier_Transform_Solar_Radiation,Solar Radiation (All Sky)
0.473949388,0.528911917,0.657085224,0.647007299,0.383219955,0.25,4.0,10.0,0.473949388,0.544455959,0.382653061,0.271853147,0.473949388,0.562279793,0.378684807,0.287587413,0.473949388,0.581968912,0.370181406,0.303321678,0.6353454231666666,0.3288690476666667,0.261436480125,60.76033321721817,0.473949388
0.473949388,0.519792746,0.656076652,0.64,0.381519274,0.219405594,4.0,10.0,0.473949388,0.528911917,0.383219955,0.25,0.473949388,0.544455959,0.382653061,0.271853147,0.473949388,0.562279793,0.378684807,0.287587413,0.63530224525,0.3334278155833334,0.2621649183333333,58.81139534873548,0.473949388
0.473949388,0.518134715,0.654815935,0.637956204,0.380385488,0.184440559,4.0,10.0,0.473949388,0.519792746,0.381519274,0.219405594,0.473949388,0.528911917,0.383219955,0.25,0.473949388,0.544455959,0.382653061,0.271853147,0.6353108808333333,0.3375850340416667,0.2623106059583333,60.382030338382,0.473949388
0.473949388,0.520207254,0.653555219,0.638832117,0.379251701,0.149475524,4.0,10.0,0.473949388,0.518134715,0.380385488,0.184440559,0.473949388,0.519792746,0.381519274,0.219405594,0.473949388,0.528911917,0.383219955,0.25,0.63546632125,0.3414115646666666,0.261727855375,70.05735108929181,0.473949388
0.473949388,0.522072539,0.653050933,0.64,0.378117914,0.118006993,4.0,10.0,0.473949388,0.520207254,0.379251701,0.149475524,0.473949388,0.518134715,0.380385488,0.184440559,0.473949388,0.519792746,0.381519274,0.219405594,0.6357167530416666,0.3449074074583333,0.2605623542083333,70.58456408448038,0.473949388
0.473949388,0.522072539,0.652546646,0.639708029,0.37755102,0.089160839,4.0,10.0,0.473949388,0.522072539,0.378117914,0.118006993,0.473949388,0.520207254,0.379251701,0.149475524,0.473949388,0.518134715,0.380385488,0.184440559,0.6360362694583334,0.3480489418333333,0.258595571,62.76767432436225,0.473949388
0.512482091,0.526010363,0.65279879,0.642627737,0.37755102,0.066433566,4.0,10.0,0.473949388,0.522072539,0.37755102,0.089160839,0.473949388,0.522072539,0.378117914,0.118006993,0.473949388,0.520207254,0.379251701,0.149475524,0.6362348877916667,0.3507889267083333,0.2560460371666667,51.600958183717864,0.511651849
0.61283696,0.562279793,0.65279879,0.668029197,0.37755102,0.076048951,4.0,10.0,0.511651849,0.526010363,0.37755102,0.066433566,0.473949388,0.522072539,0.37755102,0.089160839,0.473949388,0.522072539,0.378117914,0.118006993,0.6357340242499999,0.3530565003749999,0.25313228425,51.64413296217544,0.610526516
0.720792098,0.631295337,0.666666667,0.724671533,0.393424036,0.136363636,4.0,10.0,0.610526516,0.562279793,0.37755102,0.076048951,0.511651849,0.526010363,0.37755102,0.066433566,0.473949388,0.522072539,0.37755102,0.089160839,0.6354749569166667,0.3546863189583333,0.2522217364583333,45.913534613928995,0.71884696
0.810624247,0.713160622,0.671961674,0.78540146,0.399659864,0.310314685,4.0,10.0,0.71884696,0.631295337,0.393424036,0.136363636,0.610526516,0.562279793,0.37755102,0.076048951,0.511651849,0.526010363,0.37755102,0.066433566,0.63545768575,0.355749244125,0.2547348483333333,49.93815685978044,0.809661167
0.871696824,0.747772021,0.663136662,0.804671533,0.388888889,0.381993007,4.0,10.0,0.809661167,0.713160622,0.399659864,0.310314685,0.71884696,0.631295337,0.393424036,0.136363636,0.610526516,0.562279793,0.37755102,0.076048951,0.6353540588333334,0.3573082010416666,0.2585955709583333,54.99722384533376,0.871435891
0.903051494,0.772435233,0.648260212,0.813430657,0.37244898,0.417832168,4.0,10.0,0.871435891,0.747772021,0.388888889,0.381993007,0.809661167,0.713160622,0.399659864,0.310314685,0.71884696,0.631295337,0.393424036,0.136363636,0.6353195165,0.3588199168750001,0.2624562935833333,45.44074959172739,0.903051494
0.89021833,0.789222798,0.628845184,0.814014599,0.350907029,0.456293706,4.0,10.0,0.903051494,0.772435233,0.37244898,0.417832168,0.871435891,0.747772021,0.388888889,0.381993007,0.809661167,0.713160622,0.399659864,0.310314685,0.6353799655416666,0.3599064625833333,0.26689976675,47.78191962720435,0.89021833
0.840133408,0.796891192,0.610943016,0.809051095,0.331632653,0.495629371,4.0,10.0,0.89021833,0.789222798,0.350907029,0.456293706,0.903051494,0.772435233,0.37244898,0.417832168,0.871435891,0.747772021,0.388888889,0.381993007,0.6354663213333333,0.3605442176666666,0.2723266315833333,38.919162245489595,0.838055432
0.758826655,0.795025907,0.593797277,0.797664234,0.31462585,0.531468531,4.0,10.0,0.838055432,0.796891192,0.331632653,0.495629371,0.89021833,0.789222798,0.350907029,0.456293706,0.903051494,0.772435233,0.37244898,0.417832168,0.6355008636666667,0.3608040437916666,0.2786640441666667,44.30432466453371,0.755505688
0.653850898,0.782797927,0.577660111,0.779854015,0.298752834,0.564685315,4.0,10.0,0.755505688,0.795025907,0.31462585,0.531468531,0.838055432,0.796891192,0.331632653,0.495629371,0.89021833,0.789222798,0.350907029,0.456293706,0.6354490501666666,0.3605678381666666,0.2858027388333333,36.12997129608511,0.650648537
0.546526743,0.758134715,0.558245083,0.751240876,0.281179138,0.566433566,4.0,10.0,0.650648537,0.782797927,0.298752834,0.564685315,0.755505688,0.795025907,0.31462585,0.531468531,0.838055432,0.796891192,0.331632653,0.495629371,0.6352849741666666,0.3595757746666666,0.2931599649166667,43.80252114962915,0.544875748
0.478845442,0.689533679,0.53530005,0.689635036,0.260770975,0.387237762,4.0,10.0,0.544875748,0.758134715,0.281179138,0.566433566,0.650648537,0.782797927,0.298752834,0.564685315,0.755505688,0.795025907,0.31462585,0.531468531,0.6353972367083334,0.3574499243333333,0.2984411420833333,46.76527503929376,0.478726836
0.473949388,0.642901554,0.510085729,0.642043796,0.238662132,0.387237762,4.0,10.0,0.478726836,0.689533679,0.260770975,0.387237762,0.544875748,0.758134715,0.281179138,0.566433566,0.650648537,0.782797927,0.298752834,0.564685315,0.6354663213333334,0.3539068404583333,0.3025932399583333,54.93864078165409,0.473949388
0.473949388,0.61865285,0.493444276,0.615474453,0.225056689,0.393356643,4.0,10.0,0.473949388,0.642901554,0.238662132,0.387237762,0.478726836,0.689533679,0.260770975,0.387237762,0.544875748,0.758134715,0.281179138,0.566433566,0.6353367876666667,0.3491354874583334,0.30638111875,25.70021993594831,0.473949388
0.473949388,0.593989637,0.488905698,0.595620438,0.221655329,0.368881119,4.0,10.0,0.473949388,0.61865285,0.225056689,0.393356643,0.473949388,0.642901554,0.238662132,0.387237762,0.478726836,0.689533679,0.260770975,0.387237762,0.6350000000833333,0.3435137943333333,0.308894230625,31.940817877323074,0.473949388
0.473949388,0.569533679,0.489157842,0.578394161,0.221655329,0.326923077,4.0,10.0,0.473949388,0.593989637,0.221655329,0.368881119,0.473949388,0.61865285,0.225056689,0.393356643,0.473949388,0.642901554,0.238662132,0.387237762,0.634481865375,0.3373252077916666,0.30987762225,20.39142766955186,0.473949388
0.473949388,0.548186528,0.487644982,0.562627737,0.221088435,0.295454545,4.0,10.0,0.473949388,0.569533679,0.221655329,0.326923077,0.473949388,0.593989637,0.221655329,0.368881119,0.473949388,0.61865285,0.225056689,0.393356643,0.633894646,0.3307586922916666,0.3102054194166667,25.28191792408308,0.473949388
0.473949388,0.530362694,0.47806354,0.544525547,0.213718821,0.27972028,4.0,10.0,0.473949388,0.548186528,0.221088435,0.295454545,0.473949388,0.569533679,0.221655329,0.326923077,0.473949388,0.593989637,0.221655329,0.368881119,0.633307426625,0.323719765625,0.310533216625,26.35144406087918,0.473949388
0.473949388,0.514196891,0.459404942,0.522043796,0.200113379,0.270104895,5.0,10.0,0.473949388,0.530362694,0.213718821,0.27972028,0.473949388,0.548186528,0.221088435,0.295454545,0.473949388,0.569533679,0.221655329,0.326923077,0.6326943005416666,0.3160903249583333,0.3113709205833333,42.922999419090296,0.473949388
0.473949388,0.499689119,0.440242057,0.501021898,0.186507937,0.26486014,5.0,10.0,0.473949388,0.514196891,0.200113379,0.270104895,0.473949388,0.530362694,0.213718821,0.27972028,0.473949388,0.548186528,0.221088435,0.295454545,0.6318566494166666,0.3079648525833333,0.31326486,28.665870028135963,0.473949388
0.473949388,0.486217617,0.42713061,0.48379562,0.177437642,0.262237762,5.0,10.0,0.473949388,0.499689119,0.186507937,0.26486014,0.473949388,0.514196891,0.200113379,0.270104895,0.473949388,0.530362694,0.213718821,0.27972028,0.6305267703333334,0.2995086923333334,0.316506410125,29.01642722493094,0.473949388
0.473949388,0.473782383,0.421331316,0.471824818,0.173469388,0.263986014,5.0,10.0,0.473949388,0.486217617,0.177437642,0.262237762,0.473949388,0.499689119,0.186507937,0.26486014,0.473949388,0.514196891,0.200113379,0.270104895,0.6285924007083333,0.2909344292916667,0.3212776805416666,47.24976926486564,0.473949388
0.473949388,0.463005181,0.418053454,0.462189781,0.171768707,0.26486014,5.0,10.0,0.473949388,0.473782383,0.173469388,0.263986014,0.473949388,0.486217617,0.177437642,0.262237762,0.473949388,0.499689119,0.186507937,0.26486014,0.6261312607916666,0.2823365456666666,0.3273965616666667,19.038371995333577,0.473949388
0.473949388,0.453471503,0.414019163,0.453138686,0.16893424,0.268356643,5.0,10.0,0.473949388,0.463005181,0.171768707,0.26486014,0.473949388,0.473782383,0.173469388,0.263986014,0.473949388,0.486217617,0.177437642,0.262237762,0.6232728842916666,0.2736441798333333,0.3348630535,19.766796644776868,0.473949388
0.508677212,0.466321244,0.406454866,0.457810219,0.1638322,0.26048951,5.0,10.0,0.473949388,0.453471503,0.16893424,0.268356643,0.473949388,0.463005181,0.171768707,0.26486014,0.473949388,0.473782383,0.173469388,0.263986014,0.6207858376666667,0.2647392289999999,0.3429487178333333,10.747482903958447,0.508022507
0.604733801,0.532020725,0.393343419,0.496350365,0.155895692,0.350524476,5.0,10.0,0.508022507,0.466321244,0.1638322,0.26048951,0.473949388,0.453471503,0.16893424,0.268356643,0.473949388,0.463005181,0.171768707,0.26486014,0.6195250431666667,0.2555035903333333,0.3543851980416667,10.941737710530118,0.602613126
0.714600867,0.593782383,0.375693394,0.529927007,0.145124717,0.289335664,5.0,10.0,0.602613126,0.532020725,0.155895692,0.350524476,0.508022507,0.466321244,0.1638322,0.26048951,0.473949388,0.453471503,0.16893424,0.268356643,0.6179620034166666,0.245157785375,0.3607590325416667,18.017214740857824,0.712385308
